Test date	Product name	Brand	Testing for	Result (ppb)
2/13/2018	turmeric powder	double golden fish	cadmium	40.0
2/13/2018	turmeric powder	golden owl	cadmium	none
2/6/2018	sits kebab powder	baj	cadmium	none found
2/22/2018	cassava	otto's	cadmium	none found
2/26/2018	ground paprika	supreme tradition	cadmium	26.2
2/26/2018	ground cloves	baker's select	cadmium	22.5
2/27/2018	himalayan pink salt	sophia	cadmium	none found
3/1/2018	ground cumin	ken's own	cadmium	66.6
3/12/2018	jamaican curry	mimi's products	cadmium	43.8
3/12/2018	ground cumin	mimi's products	cadmium	71.0
3/9/2018	ground tumeric	mimi's products	cadmium	10.1
3/9/2018	ground cumin	mimi's products	cadmium	47.3
3/12/2018	turmeric	simply organic	cadmium	75.8
3/12/2018	ground cumin	casablanca	cadmium	73.6
3/12/2018	turmeric powder	casablanca	cadmium	13.7
3/12/2018	ground cumin	picante foods	cadmium	62.8
3/12/2018	curry powder	mi costenita	cadmium	56.6
3/12/2018	roasted chili powder	gusto	cadmium	73.0
3/12/2018	turmeric ground	three rivers	cadmium	85.7
3/12/2018	cummin powder	three rivers	cadmium	90.5
3/12/2018	chili powder	none	cadmium	119.0
3/12/2018	turmeric powder	siam	cadmium	65.2
3/12/2018	madras curry powder	cariniando	cadmium	117.0
3/12/2018	cumin powder	swad	cadmium	84.0
3/12/2018	madras curry powder	swad	cadmium	59.2
3/12/2018	cumin powder	radhuni	cadmium	75.9
3/12/2018	curry powder	radhuni	cadmium	81.4
3/12/2018	turmeric powder	radhuni	cadmium	60.6
3/12/2018	curry powder	maya	cadmium	74.1
3/12/2018	ground cumin	angel	cadmium	74.3
3/12/2018	turmeric powder	swad	cadmium	15.0
3/12/2018	tumeric	simply organic	cadmium	73.1
3/12/2018	ground cumin	badia	cadmium	85.2
3/12/2018	cumin ground	chef's select	cadmium	83.6
3/13/2018	turmeric powder	keshav	cadmium	10.7
3/12/2018	roasted geera - ground cumin	chief	cadmium	67.2
3/12/2018	turmeric powder	dual specialty store	cadmium	18.3
3/13/2018	ground cumin	fresh finds	cadmium	72.6
3/12/2018	curry powder	maya overseas	cadmium	37.8
3/13/2018	ground turmeric	fresh finds	cadmium	26.1
3/12/2018	turmeric powder	gr	cadmium	30.6
3/13/2018	curry powder	fresh finds	cadmium	49.6
3/12/2018	cumin powder	radhuni	cadmium	66.0
3/12/2018	madras curry powder	sun brand	cadmium	35.2
3/12/2018	ground nutmeg	the spice hunter	cadmium	27.2
3/13/2018	organic cumin	spicely organics	cadmium	67.9
3/12/2018	ground hot chili pepper	nicomex	cadmium	163
3/12/2018	organic curry	spicely organics	cadmium	47.0
3/12/2018	jahshueth's jamaican curry	jamaica gold	cadmium	21.6
3/12/2018	tumeric	spice class	cadmium	34.2
3/12/2018	special madras curry	indi	cadmium	97.0
3/20/2018	cumin powder	shad	cadmium	63.7
3/20/2018	chilli powder	shad	cadmium	83.2
3/26/2018	black salt	shad	cadmium	none
3/28/2018	ground coriander	info-west indian	cadmium	26.6
3/28/2018	ground nutmeg	indo-west indian	cadmium	100
3/28/2018	ground turmeric	chief brand products	cadmium	19.6
3/28/2018	whole turmeric	indo-west indian	cadmium	none
3/28/2018	ground cinnamon	indo-west indian	cadmium	287
3/28/2018	ground cumin	los mart	cadmium	98.8
3/26/2018	cumin powder	radhuni	cadmium	79.1
3/28/2018	ground cinnamon	gro mex	cadmium	222
4/12/2018	turmeric	la flor	cadmium	14.7
4/17/2018	jamaican style hot curry powder	grace	cadmium	13.9
