Test date	Product name	Brand	Testing for	Result (ppb)
6/12/2017	mild curry powder	bedessee	arsenic	27.1
6/21/2017	cumin	chef's select	arsenic	117
6/23/2017	ground tumeric	keuka trail farm	arsenic	55.0
6/28/2017	curry powder	toros	arsenic	433
6/29/2017	garam masala	spice rite	arsenic	28.4
6/29/2017	garam masala	indo-west indian	arsenic	20.9
6/29/2017	roasted geera (cumin)	maywah	arsenic	48.8
6/29/2017	turmeric powder	keshav	arsenic	32.8
6/29/2017	geera cumin roasted	indo-west indian	arsenic	38.2
6/30/2017	mild curry powder	grace	arsenic	none
6/30/2017	hot curry powder	grace	arsenic	none
7/3/2017	turmeric powder	shwekein-na-yi	arsenic	738
7/11/2017	grey salt with black	tartufi di fassia	arsenic	127
7/7/2017	cumin powder	laxmi brand	arsenic	106
7/7/2017	cumin powder	laxmi brand	arsenic	319
7/7/2017	cumin powder	laxmi brand	arsenic	108
7/12/2017	cayenne pepper	finest choice	arsenic	23.0
7/19/2017	saffron powder (tumeric)	chief	arsenic	25.0
7/18/2017	mecit alpdogan sumak	oz alpdogan	arsenic	50.0
7/18/2017	sumac ground	casa blanca	arsenic	53.4
7/18/2017	sumac ground	casa blanca	arsenic	62.5
7/19/2017	barbeque spice	eagle spice	arsenic	87.2
7/19/2017	extra ground cumin	eagle spice	arsenic	153
7/24/2017	ground cinnamon	niskayuna	arsenic	90.6
7/24/2017	curry powder	niskayuna	arsenic	124
7/24/2017	ground nutmeg	niskayuna	arsenic	27.2
7/24/2017	turmeric	niskayuna	arsenic	none
7/24/2017	paprika	kamis	arsenic	168
7/26/2017	curry powder	guercio & sons	arsenic	24.7
7/26/2017	ground cumin	gro mex	arsenic	333
7/27/2017	yellow coloring	lisy bija	arsenic	none
7/27/2017	lemon pepper	salma	arsenic	30.2
7/27/2017	cumin seeds	salma	arsenic	63.5
8/2/2017	bajan curry powder	exotica	arsenic	53.7
8/8/2017	turmeric powder	caribbean	arsenic	19.6
8/14/2017	turmeric powder	magadoo	arsenic	222
8/21/2017	sumac	baraka	arsenic	47.1
8/22/2017	paprika	marcum	arsenic	63.0
8/22/2017	cinnamon	marcum	arsenic	none
8/22/2017	ground cumin	marcum	arsenic	95.4
8/21/2017	lisa paprika	lisy	arsenic	168
8/21/2017	grand cumin	lisy	arsenic	111
8/22/2017	chilli powder extra hot	keshav	arsenic	41.3
